rmse,mae,auroc,pred_auc,Model,Dataset,Miss_Rate,Seed,DB_Type
0.38643537198219324,0.15072287736388446,,0.7009031666008412,WGAN_FWAL,breast_cancer,0.1,1,light
0.39708296800808507,0.1596216454395321,,0.7048309248890645,KD,breast_cancer,0.1,1,light
0.3981320630143054,0.16017781701906758,,0.7351651255721023,Student_Baseline,breast_cancer,0.1,1,light
0.4065983926682451,0.16824232633498035,,0.7489429175475687,GAIN,breast_cancer,0.2,1,light
0.3979574086989668,0.16045590503352605,,0.6856939572055851,WGAN_FWAL,breast_cancer,0.2,1,light
0.39409535581137534,0.158231212875571,,0.7032572079083708,KD,breast_cancer,0.2,1,light
0.41422118815270026,0.17463831562864612,,0.6661045349998839,Student_Baseline,breast_cancer,0.2,1,light
0.411681737413837,0.17260357638650653,,0.7276819111121438,GAIN,breast_cancer,0.3,1,light
0.38398877385064817,0.15130356243128656,,0.6999930302255882,WGAN_FWAL,breast_cancer,0.3,1,light
0.39366968766950633,0.15828115258920925,,0.6959139697511791,KD,breast_cancer,0.3,1,light
0.40254840460548563,0.16580960677577503,,0.7004251562391097,Student_Baseline,breast_cancer,0.3,1,light
0.4263168192178316,0.18524350078989085,,0.7577149594591455,GAIN,breast_cancer,0.5,1,light
0.39734811235792866,0.16211626991215666,,0.6901043723718143,WGAN_FWAL,breast_cancer,0.5,1,light
0.39947184382060313,0.16324442571089715,,0.7104079060474409,KD,breast_cancer,0.5,1,light
0.43638611062416444,0.1947200267375521,,0.735868201565876,Student_Baseline,breast_cancer,0.5,1,light
0.052421860672757406,0.018560291313655213,,,GAIN,spam,0.05,1,light
0.053893280915774895,0.02465935378628478,,,WGAN_FWAL,spam,0.05,1,light
0.05386413616869615,0.0236038670814525,,,KD,spam,0.05,1,light
0.05244182140042619,0.018863669121089343,,,Student_Baseline,spam,0.05,1,light
0.05148283625281257,0.01839273692159646,,,GAIN,spam,0.1,1,light
0.05267205672392929,0.023884339018676662,,,WGAN_FWAL,spam,0.1,1,light
0.05279708335531358,0.02373858808446229,,,KD,spam,0.1,1,light
0.05210978797495071,0.019342047949743372,,,Student_Baseline,spam,0.1,1,light
0.052621529689842704,0.01783238161486553,,,GAIN,spam,0.2,1,light
0.054432829395417465,0.023902714517555466,,,WGAN_FWAL,spam,0.2,1,light
0.05656213638900704,0.026530922132726814,,,KD,spam,0.2,1,light
0.05294761841686203,0.019029262870123083,,,Student_Baseline,spam,0.2,1,light
0.05218589911468306,0.018138268495746613,,,GAIN,spam,0.3,1,light
0.05563664800089244,0.02442283774773292,,,WGAN_FWAL,spam,0.3,1,light
0.05538985561445233,0.024130075471604857,,,KD,spam,0.3,1,light
0.052980968328519354,0.018692275783393036,,,Student_Baseline,spam,0.3,1,light
0.05397831478458364,0.018725001241158893,,,GAIN,spam,0.5,1,light
0.05713870639053546,0.023855188688714425,,,WGAN_FWAL,spam,0.5,1,light
0.056767378890039584,0.024107274978109973,,,KD,spam,0.5,1,light
0.05427090384177024,0.0199442375581003,,,Student_Baseline,spam,0.5,1,light
0.3436428127514384,0.12883019239297078,,0.8399473518661367,GAIN,credit,0.05,1,light
0.3160673227354958,0.10990897491448313,,0.8269870563063701,WGAN_FWAL,credit,0.05,1,light
0.30634019073539,0.10406723373857914,,0.8326407474199463,KD,credit,0.05,1,light
0.33214124094949565,0.12005350513029639,,0.8355879615951955,Student_Baseline,credit,0.05,1,light
0.30469215115661724,0.10300497834365609,,0.8444272349174089,GAIN,credit,0.1,1,light
0.31920685216064926,0.11193203637667477,,0.8218577394057165,WGAN_FWAL,credit,0.1,1,light
0.3085057887491126,0.10524229821160389,,0.8191144552874976,KD,credit,0.1,1,light
0.3123639266740157,0.10775514688465732,,0.8200224331615275,Student_Baseline,credit,0.1,1,light
0.29913838879625787,0.09981183774999751,,0.8325719282340891,GAIN,credit,0.2,1,light
0.3214697621282144,0.11381342052788533,,0.8028747213985191,WGAN_FWAL,credit,0.2,1,light
0.3189082924719019,0.1120248584753831,,0.7787966441634844,KD,credit,0.2,1,light
0.3036155123944977,0.10196006147545773,,0.8414287650217733,Student_Baseline,credit,0.2,1,light
0.29646903079279796,0.09824186291416713,,0.841031662102061,GAIN,credit,0.3,1,light
0.3206335965526033,0.11342739718946246,,0.7880822852846153,WGAN_FWAL,credit,0.3,1,light
0.32112851477821164,0.1136125401700937,,0.7643831883377769,KD,credit,0.3,1,light
0.30862604939158006,0.10524445853617248,,0.7858058442954634,Student_Baseline,credit,0.3,1,light
0.34979255354411665,0.1348019832164312,,0.8145968720411526,GAIN,credit,0.5,1,light
0.33757627332159823,0.12480618096132144,,0.7275201125974359,WGAN_FWAL,credit,0.5,1,light
0.3269855084060489,0.11747298945089259,,0.7196490525361506,KD,credit,0.5,1,light
0.3143721554709588,0.10890900271833445,,0.8176575854199903,Student_Baseline,credit,0.5,1,light
0.1942155947301508,0.14689863039288276,0.7957900492072171,,GAIN,wine,0.05,1,light
0.1787940488672939,0.12909294425093223,0.8534718425369053,,WGAN_FWAL,wine,0.05,1,light
0.18908775432162792,0.13754349162465734,0.8239475123018043,,KD,wine,0.05,1,light
0.18226328559610128,0.13759068091727034,0.806178239475123,,Student_Baseline,wine,0.05,1,light
0.19126948830768004,0.1443230395121355,0.8016614745586708,,GAIN,wine,0.1,1,light
0.18266691472184615,0.1342923382520236,0.8286604361370716,,WGAN_FWAL,wine,0.1,1,light
0.1891860992547376,0.1351106723557425,0.8381793007961232,,KD,wine,0.1,1,light
0.1960263695907824,0.1484340816563303,0.7872101073035653,,Student_Baseline,wine,0.1,1,light
0.20137472915272034,0.15734126585454916,0.7318849206349207,,GAIN,wine,0.2,1,light
0.17777343507283408,0.13549232832294342,0.8343253968253967,,WGAN_FWAL,wine,0.2,1,light
0.1797826447353622,0.1328724353056672,0.8365873015873015,,KD,wine,0.2,1,light
0.21550063463185573,0.16867569648858413,0.6802777777777778,,Student_Baseline,wine,0.2,1,light
0.1970606036230254,0.1531440656625545,0.730421543438957,,GAIN,wine,0.3,1,light
0.18211503811558255,0.14091501713653154,0.8139170754072267,,WGAN_FWAL,wine,0.3,1,light
0.1824104767269326,0.13927603069276684,0.8076367442624938,,KD,wine,0.3,1,light
0.20274196246575596,0.1579936680650561,0.7337520220763155,,Student_Baseline,wine,0.3,1,light
0.2011878478836363,0.15220875619596752,0.7336841571994883,,GAIN,wine,0.5,1,light
0.19863836315900005,0.15783117398218757,0.7126600554732323,,WGAN_FWAL,wine,0.5,1,light
0.1930111791716483,0.14855664513550498,0.7655084413034943,,KD,wine,0.5,1,light
0.2157420824424478,0.16737346100689005,0.6805349747330827,,Student_Baseline,wine,0.5,1,light
0.2850346297079394,0.1435765840201685,0.8766953502423788,0.728690352292775,GAIN,student,0.05,1,light
0.2653285509077955,0.13686565137529452,0.8721800761908055,0.7346979145257363,WGAN_FWAL,student,0.05,1,light
0.25887261635356607,0.13103894748307218,0.8668369916799669,0.7349608344878671,KD,student,0.05,1,light
0.2697404038888416,0.12967356860729587,0.8809168188564122,0.7279208886391212,Student_Baseline,student,0.05,1,light
0.2755836116767302,0.1390303607067907,0.8656999613514651,0.7256631911422439,GAIN,student,0.1,1,light
0.26829357573042983,0.13749230509061408,0.8688633693771957,0.7234364428648418,WGAN_FWAL,student,0.1,1,light
0.2653784254062984,0.13627086139656214,0.8580642342269216,0.7260890137337064,KD,student,0.1,1,light
0.2574958176660397,0.12321457964471648,0.8756718727479161,0.7270258264006925,Student_Baseline,student,0.1,1,light
0.2655685698498512,0.1333223833625225,0.8604589653486234,0.7169268361426324,GAIN,student,0.2,1,light
